A,EB,MS,S,FM,LF,HS,DP,LP,OHV,HV,SLF,LONI,GDPPCA,LNI,LFDLE,TE,EIR,TA,LANI,API,APE,LNICTI,LCEC,LC,Stability,ALRBL,BLNR,BS,PL,B,NLP,LLR,SR,G,APS,UNPROFOR,UNPROFOR relations,PCNIRH,PCAO,RGDPGR ,CPI,SDR,EC,Class
0.368,0.2,1,1,1,1,1,1,1,0.13,0.13,0.5,0.393,0.409,0.461,0.737,0.472,0.544,0.21,0.38,0.197,0.908,0,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.089,0.641,0.46,0.399,0.081,0.628,Farmers-good
1,0.6,1,0.8,1,0.5,0.667,0.5,1,0.311,0.311,0.25,0.128,0.118,0.159,0.816,0.846,0.605,0.155,0.065,0.03,0.989,0.419,0.886,1,0.75,1,1,0,1,1,0,0.5,0.5,1,0.212,0,0,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
1,0,1,1,1,0.75,0.889,0.75,1,0.078,0.078,0.5,0.369,0.386,0.434,0.737,0.504,0.546,0.179,0.358,0.185,0.915,0,1,1,0.75,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.089,0.641,0.46,0.399,0.081,0.628,Farmers-good
1,0.4,1,1,1,0.5,0.5,0.25,0.75,0.026,0.026,0.25,0.066,0.107,0.112,0.868,0.821,0.41,0.04,0.037,0.017,0.994,0.517,0.897,1,1,1,1,0,1,1,0,0.5,0.25,1,0.128,0,0,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
0.684,0.4,1,1,0.75,0.5,0.833,0.75,1,0.207,0.207,0.5,0.295,0.582,0.41,0.737,0.309,0.386,0.355,0.338,0.272,0.801,0,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
1,0.6,1,0.8,0.75,0.5,0.833,0.75,1,0.207,0.207,0.75,0.337,0.204,0.363,0.44,0.719,0.672,0.264,0.04,0.014,0.999,0.857,0.84,1,1,0.63,0,0,1,1,0.5,0.75,0.5,1,0.333,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.9,1,1,1,0.5,0.667,0.5,1,0.202,0.202,0.5,0.081,0.097,0.147,0.605,0.712,0.314,0.111,0.015,0.012,0.991,0.742,0.714,1,1,1,1,0,1,1,0,0.5,0.5,0,0,1,1,0.089,0.641,0.46,0.399,0.081,0.628,Farmers-good
1,0.4,1,1,0.75,0.75,1,1,1,0.13,0.13,0.5,0.186,0.182,0.199,0.781,0.89,0.757,0.127,0.164,0.082,0.965,0,1,1,0.5,1,1,0,1,1,0,0.5,0.25,1,0.467,0,0,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
1,0.6,1,1,0.75,0.5,0.833,0.75,1,0.156,0.156,0.75,0.252,0.291,0.33,0.605,0.526,0.455,0.162,0.183,0.059,1,0.327,0.657,1,1,1,1,0,1,1,0,0.5,0.5,1,0.367,0,0,0.047,0.303,0.862,0.733,0.164,0.679,Farmers-good
1,0.4,1,1,1,0.75,0.889,0.75,0.5,0.052,0.052,0.75,0.21,0.181,0.242,0.693,0.78,0.625,0.364,0,0,1,1,0.714,1,1,1,1,0,1,1,0,0.5,0.5,0,0,1,0.5,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
