Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11,Attribute 12,Attribute 13,Attribute 14,Attribute 15,Attribute 16,Attribute 17,Attribute 18,Attribute 19,Attribute 20,Attribute 21,Attribute 22,Attribute 23,Attribute 24,Attribute 25,Attribute 26,Attribute 27,Attribute 28,Attribute 29,Attribute 30,Attribute 31,Attribute 32,Attribute 33,Attribute 34,Attribute 35,Attribute 36,Attribute 37,Attribute 38,Attribute 39,Attribute 40,Attribute 41,Attribute 42,Attribute 43,Attribute 44,Attribute 45,Attribute 46,Attribute 47,Attribute 48,Attribute 49,Attribute 50,Attribute 51,Attribute 52,Attribute 53,Attribute 54,Attribute 55,Attribute 56,Attribute 57,Attribute 58,Attribute 59,Attribute 60,Class
0.6,1,1,1,1,0.25,0.25,1,1,0,1,1,0.75,0,0.75,0.5,0.75,0.9,0.969774489,0.5,1,1,1,0.6,0.080822564,1,0,0,0,0.013823872,0.930245536,0.001678574,0.026573638,0.992408995,1,0.687690878,0.040792074,0.011397259,0.054121401,0.055017579,0.019426667,0.067432285,0.027078123,0,0.005491079,0,0.234083922,0.00213746,0.217135256,0.967264964,0.25,0.005602384,0.083344247,0.091508346,0.675438596,0.575757576,0.17938117,0.144174355,0.618181818,1,Good
0.2,1,1,0.47826087,1,0.25,0.25,1,1,0,1,1,0.5,1,1,1,1,1,0.969774489,0.5,0,0,0,0,0,0,0.25,0.75,1,0.020589211,0.846390169,0.005219415,0.042472433,0.960639233,0.789440175,0.90094277,0.022579095,0.010028058,0.041211141,0.064187854,0.0454771,0.026634754,0.021193914,0.013702372,0.001728204,0.028755115,0.038980061,0.036044012,0.009897992,0.961150612,0.5,0.087091599,0.119063211,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.8,1,1,0.869565217,0.75,0.25,0.25,1,1,0,1,1,0.75,0,0.75,0.5,0.75,0.9,0.913801322,0.5,0,0,0,0,0,0,0.25,0.75,1,0.008715751,0.911560342,0.002276208,0.165340767,0.892393287,1,0.978665958,0.077232837,0.143856248,0.109387924,0.330917889,0.136440049,0.118840626,0.326266478,0.215456043,0.004052844,0.352447847,0.034466823,0.129975116,0.007106555,0.856021921,0.5,0.072539953,0.714379264,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,1,Good
0.4,1,1,1,1,0.25,0.25,1,1,0,1,0.6,0.5,1,0.75,0.5,0.75,0.9,0.958579856,0.5,0,0,0,0,0,0,0.5,0.75,1,0.036893377,0.924990505,0.001838652,0.047660627,0.988309852,1,0.99141327,0.064365624,0.033899578,0.065174706,0.131703499,0.03653964,0.104095461,0.073627596,0.001370237,0.011809043,0.036534721,0.076373314,0.02172596,0.026059442,0.969159552,1,0.007542603,0.095250569,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.6,1,1,1,1,0.25,0.25,1,1,0,0.5,0.3,0.5,0,0.75,0.5,0.75,0.9,0.936190589,0.5,0,0,0,0,0,0,0.25,0.75,0.75,0.009089937,0.829962888,0.006284841,0.141843777,0,1,1,0.028917605,0.045917643,0.090818373,0.127614892,0.168439034,0.031242617,0.10905713,0.070643342,0.001423012,0.031739184,0.022941821,0.202253461,0.003690774,0.958680758,0.5,0.038586114,0.10715689,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.6,1,1,1,1,1,0.25,1,0.75,0,1,1,0.75,1,0.75,0.5,0.75,0.9,0.969774489,0.5,0,0,0,0,0,0,1,1,0.25,0.001613259,0.991101092,0.000176722,0.761082391,0.156554998,1,0.731863852,0.006668896,0.059571713,0.065174706,0.230035158,0.487781918,0.014001858,0.202007496,0.09134915,0.016547517,0,0.010978378,0.878349522,0.000416718,0.824654157,0.25,0.048287211,0.309564348,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,1,Good
0.6,1,1,1,1,1,0.25,1,1,0,1,1,0,1,0.75,0.5,0.75,0.9,0.969774489,0.5,0.8,1,1,1,0.101028204,1,0,0,0,0.04015383,0.889792757,0.003086485,0.06352057,0.97316158,1,0.592086044,0.088609716,0.062889034,0.073788756,0.214606074,0.05631655,0.125220861,0.107153059,0.182698299,0.001212112,0,0.113916956,0.001405453,0.441852099,0.886960268,1,0.009482822,0.047625284,0.092168417,0.789473684,0.939393939,0.104182912,0.11294062,0.533333333,0.950395399,Good
0,1,1,0.826086957,1,0.25,0.25,1,1,0,1,0.6,0.5,0,0.75,0.5,0.75,0.9,0.947385222,0.5,0,0,0,0,0,0,0.5,1,1,0.028477332,0.893639699,0.002838738,0.12689406,0.684813037,1,0.808524764,0.030358881,0.043041557,0.069596028,0.156174347,0.10833616,0.04539447,0.093678342,0.01826983,0.001366852,0.008546133,0.027509653,0.092642772,0.006355756,0.887451138,0.75,0.024034468,0.166688495,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.4,1,0.8,0.826086957,0,0.25,0.25,1,1,0,1,0.6,1,0,1,0.5,0.5,0.8,0.992163757,0.5,1,0.5,1,0.6,0.673521498,1,0,0,0,0.074216903,0.897959184,0.00276629,0.064699622,0.9662622,1,0.866684371,0.006900743,0.004320112,0.102019055,0.011114678,0.055503997,0.0105939,0.009977154,0.007130715,0.005122531,0.025043908,0.159477963,0.014581574,0.060628388,0.97670294,0.25,0.000363791,0.095250569,0.053698378,0.394736842,1,0.03816558,0,0.433333333,0,Good
0.6,1,1,0.956521739,1,0.25,0.25,1,1,0,1,1,1,0,1,0.5,0.5,0.8,0.947385222,0.5,0,0,0,0,0,0,0.5,1,1,0.02039618,0.853633246,0.004802405,0.0484492,0.495080084,1,0.689726907,0.135832984,0.07364006,0.084131123,0.220360384,0.050212574,0.163598851,0.194356289,0.01826983,0.004701772,0.016866903,0.072119052,0.03478496,0.020903445,0.976393433,0.5,0.004632274,0.035718963,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0,Good
